TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 2,,,,,,,,,,PEAK 3,,,,,,,,,,PEAK 4,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
(S)-Lactaldehyde,XIC,eTargetCompound,C3H6O2,,,ESI,5000,,0,,75.04406,M+H,+,1,0,120,,,,,97.026,M+Na,+,1,0,60,,,,,92.07061,M+NH4,+,1,0,60,,,,,73.0295,M-H,-,1,0,60,,,
3-Hydroxypropanal,XIC,eTargetCompound,C3H6O2,,,ESI,5000,,0,,75.04406,M+H,+,1,0,120,,,,,97.026,M+Na,+,1,0,60,,,,,92.07061,M+NH4,+,1,0,60,,,,,73.0295,M-H,-,1,0,60,,,
Hydroxyacetone,XIC,eTargetCompound,C3H6O2,,,ESI,5000,,0,,75.04406,M+H,+,1,0,120,,,,,97.026,M+Na,+,1,0,60,,,,,92.07061,M+NH4,+,1,0,60,,,,,73.0295,M-H,-,1,0,60,,,
Propionic acid,XIC,eTargetCompound,C3H6O2,,,ESI,5000,,0,,75.04406,M+H,+,1,0,120,,,,,97.026,M+Na,+,1,0,60,,,,,92.07061,M+NH4,+,1,0,60,,,,,73.0295,M-H,-,1,0,60,,,
1-Butanol,XIC,eTargetCompound,C4H10O,,,ESI,5000,,0,,75.08044,M+H,+,1,0,120,,,,,97.06239,M+Na,+,1,0,60,,,,,92.10699,M+NH4,+,1,0,60,,,,,73.06589,M-H,-,1,0,60,,,
Isobutyl alcohol,XIC,eTargetCompound,C4H10O,,,ESI,5000,,0,,75.08044,M+H,+,1,0,120,,,,,97.06239,M+Na,+,1,0,60,,,,,92.10699,M+NH4,+,1,0,60,,,,,73.06589,M-H,-,1,0,60,,,
"1,3-Diaminopropane",XIC,eTargetCompound,C3H10N2,,,ESI,5000,,0,,75.09167,M+H,+,1,0,120,,,,,97.07362,M+Na,+,1,0,60,,,,,92.11822,M+NH4,+,1,0,60,,,,,73.07712,M-H,-,1,0,60,,,
Glycine,XIC,eTargetCompound,C2H5NO2,,,ESI,5000,,0,,76.0393,M+H,+,1,0,120,,,,,98.02125,M+Na,+,1,0,60,,,,,93.06585,M+NH4,+,1,0,60,,,,,74.02475,M-H,-,1,0,60,,,
Nitroethane,XIC,eTargetCompound,C2H5NO2,,,ESI,5000,,0,,76.0393,M+H,+,1,0,120,,,,,98.02125,M+Na,+,1,0,60,,,,,93.06585,M+NH4,+,1,0,60,,,,,74.02475,M-H,-,1,0,60,,,
Semicarbazide,XIC,eTargetCompound,CH5N3O,,,ESI,5000,,0,,76.05054,M+H,+,1,0,120,,,,,98.03248,M+Na,+,1,0,60,,,,,93.07709,M+NH4,+,1,0,60,,,,,74.03599,M-H,-,1,0,60,,,
